modality,index,title,creator,cluster,cluster_prob
song,119,Saturn Returns Interlude,Ariana Grande,4,0.27695435
song,120,supernatural,Ariana Grande,2,0.78931415
song,121,Bang Bang,Ariana Grande,2,0.38344938
song,122,the boy is mine,Ariana Grande,2,0.73672456
song,123,"yes, and?",Ariana Grande,2,0.5972808
song,124,i wish i hated you,Ariana Grande,2,0.4552977
song,125,eternal sunshine,Ariana Grande,2,0.55201226
song,126,true story,Ariana Grande,2,0.50852203
song,127,intro (end of the world) - extended,Ariana Grande,2,0.67939425
song,128,imperfect for you,Ariana Grande,2,0.60066104
song,129,twilight zone,Ariana Grande,2,0.54931974
song,130,warm,Ariana Grande,2,0.5880275
song,131,past life,Ariana Grande,0,0.34027022
song,132,dandelion,Ariana Grande,2,0.4492271
song,133,Hampstead,Ariana Grande,0,0.35328466
song,134,BIRDS OF A FEATHER,Billie Eilish,2,0.793694
song,135,WILDFLOWER,Billie Eilish,2,0.65844834
song,136,Guess featuring billie eilish,Billie Eilish,3,0.55681396
song,137,CHIHIRO,Billie Eilish,0,0.31240934
song,138,Happier Than Ever,Billie Eilish,2,0.5373415
song,139,SKINNY,Billie Eilish,2,0.5049635
song,140,THE GREATEST,Billie Eilish,0,0.57116795
song,141,ocean eyes,Billie Eilish,0,0.39801854
song,142,when the party's over,Billie Eilish,2,0.6151531
song,143,L’AMOUR DE MA VIE,Billie Eilish,2,0.6006998
song,144,LUNCH,Billie Eilish,2,0.68405175
song,145,TV,Billie Eilish,2,0.4539404
song,146,THE DINER,Billie Eilish,3,0.8776734
song,147,Billie Bossa Nova,Billie Eilish,2,0.74232984
song,148,BITTERSUITE,Billie Eilish,2,0.85523367
song,149,I Didn't Change My Number,Billie Eilish,2,0.50844085
song,150,Getting Older,Billie Eilish,2,0.38258207
song,151,Lost Cause,Billie Eilish,2,0.51581013
song,152,Halley's Comet,Billie Eilish,2,0.8249332
song,153,my future,Billie Eilish,2,0.5148398
song,154,GOLDWING,Billie Eilish,0,0.71823454
song,155,OverHeated,Billie Eilish,3,0.4648201
song,156,Your Power,Billie Eilish,3,0.45590568
song,157,Oxytocin,Billie Eilish,3,0.5054971
song,158,Not My Responsibility,Billie Eilish,4,0.7885248
song,159,BLUE,Billie Eilish,0,0.33995837
song,160,Everybody Dies,Billie Eilish,0,0.5637406
song,161,bad guy,Billie Eilish,3,0.5484598
song,162,NDA,Billie Eilish,3,0.4392258
song,163,Male Fantasy,Billie Eilish,2,0.5448967
song,164,Therefore I Am,Billie Eilish,2,0.58235323
song,165,8,Billie Eilish,2,0.6508069
song,166,my strange addiction,Billie Eilish,3,0.4583742
song,167,you should see me in a crown,Billie Eilish,0,0.638969
song,168,xanny,Billie Eilish,3,0.45779604
song,169,wish you were gay,Billie Eilish,2,0.5543457
song,170,all the good girls go to hell,Billie Eilish,0,0.62065834
song,171,Locked out of Heaven,Bruno Mars,2,0.25839716
song,172,When I Was Your Man,Bruno Mars,2,0.70343816
song,173,Die With A Smile,Bruno Mars,2,0.30362594
song,174,Just the Way You Are,Bruno Mars,2,0.7573149
song,175,Talking to the Moon,Bruno Mars,0,0.46725398
song,176,It Will Rain,Bruno Mars,2,0.70444906
song,177,Marry You,Bruno Mars,2,0.5928838
song,178,Leave The Door Open,Bruno Mars,2,0.26531547
song,179,Fly As Me,Bruno Mars,2,0.26980358
song,180,Silk Sonic Intro,Bruno Mars,2,0.27376533
song,181,That's What I Like,Bruno Mars,2,0.4254226
song,182,Smokin Out The Window,Bruno Mars,2,0.27723908
song,183,777,Bruno Mars,2,0.25708377
song,184,Put On A Smile,Bruno Mars,2,0.30604297
song,185,Grenade,Bruno Mars,3,0.48628467
song,186,24K Magic,Bruno Mars,3,0.64583546
song,187,Love's Train,Bruno Mars,2,0.34531915
song,188,Skate,Bruno Mars,2,0.23855335
song,189,APT.,Bruno Mars,1,0.6932632
song,190,Perm,Bruno Mars,2,0.2762617
song,191,Chunky,Bruno Mars,3,0.4505149
song,192,Straight up & Down,Bruno Mars,2,0.443834
song,193,Calling All My Lovelies,Bruno Mars,3,0.4795472
song,194,Versace on the Floor,Bruno Mars,2,0.49006695
song,195,Young Girls,Bruno Mars,2,0.62907255
song,196,Too Good to Say Goodbye,Bruno Mars,2,0.6336379
song,197,Moonshine,Bruno Mars,2,0.6193941
song,198,Finesse,Bruno Mars,2,0.52827394
song,199,Gorilla,Bruno Mars,3,0.8152252
song,200,Money Make Her Smile,Bruno Mars,3,0.63523036
song,201,Blast Off,Bruno Mars,2,0.24486715
song,202,Show Me,Bruno Mars,2,0.603063
song,203,If I Knew,Bruno Mars,2,0.728408
song,204,Natalie,Bruno Mars,3,0.7653315
song,205,Our First Time,Bruno Mars,2,0.59900093
song,206,Runaway Baby,Bruno Mars,2,0.76093644
song,207,Treasure,Bruno Mars,2,0.6155039
song,208,Irreplaceable,Beyoncé,3,0.72425276
song,209,Halo,Beyoncé,2,0.53078693
song,210,All Night,Beyoncé,2,0.8487485
song,211,TEXAS HOLD 'EM,Beyoncé,3,0.51775813
song,212,Diva,Beyoncé,2,0.2612669
song,213,Single Ladies (Put a Ring on It),Beyoncé,3,0.5277897
song,214,Haunted,Beyoncé,2,0.40968126
song,215,If I Were a Boy,Beyoncé,2,0.6284473
song,216,Beautiful Liar,Beyoncé,4,0.46951306
song,217,AMERIICAN REQUIEM,Beyoncé,0,0.6316935
song,218,BLACKBIIRD,Beyoncé,0,0.66166973
song,219,16 CARRIAGES,Beyoncé,0,0.6383134
song,220,PROTECTOR,Beyoncé,0,0.41215336
song,221,SMOKE HOUR ★ WILLIE NELSON,Beyoncé,0,0.6150014
song,222,DOLLY P,Beyoncé,4,0.19972986
song,223,MY ROSE,Beyoncé,2,0.32590055
song,224,BODYGUARD,Beyoncé,3,0.6069807
song,225,JOLENE,Beyoncé,2,0.5473379
song,226,ALLIIGATOR TEARS,Beyoncé,0,0.49355716
song,227,SPAGHETTII,Beyoncé,3,0.48345363
song,228,SMOKE HOUR II,Beyoncé,4,0.5958814
song,229,FLAMENCO,Beyoncé,0,0.38869846
song,230,DAUGHTER,Beyoncé,0,0.6033391
song,231,JUST FOR FUN,Beyoncé,0,0.7366034
song,232,YA YA,Beyoncé,3,0.4312185
song,233,II MOST WANTED,Beyoncé,2,0.56954366
song,234,LEVII'S JEANS,Beyoncé,2,0.49056065
song,235,THE LINDA MARTELL SHOW,Beyoncé,4,0.83308005
song,236,OH LOUISIANA,Beyoncé,4,0.79463315
song,237,TYRANT,Beyoncé,3,0.4599806
song,238,DESERT EAGLE,Beyoncé,2,0.4518208
song,239,II HANDS II HEAVEN,Beyoncé,0,0.47267812
song,240,RIIVERDANCE,Beyoncé,2,0.3607632
song,241,AMEN,Beyoncé,0,0.5979415
song,242,SWEET ★ HONEY ★ BUCKIIN',Beyoncé,3,0.48391175
song,243,I'M THAT GIRL,Beyoncé,3,0.5755941
song,244,COZY,Beyoncé,3,0.79257673
song,245,ALIEN SUPERSTAR,Beyoncé,2,0.43906075
song,246,CUFF IT,Beyoncé,3,0.57007813
song,247,Not Like Us,Kendrick Lamar,3,0.6095288
song,248,Money Trees,Kendrick Lamar,3,0.48863548
song,249,wacced out murals,Kendrick Lamar,4,0.6780109
song,250,Swimming Pools (Drank),Kendrick Lamar,3,0.53840554
song,251,man at the garden,Kendrick Lamar,3,0.56183374
song,252,PRIDE.,Kendrick Lamar,3,0.49437863
song,253,Like That,Kendrick Lamar,3,0.46732605
song,254,United In Grief,Kendrick Lamar,3,0.48005491
song,255,reincarnated,Kendrick Lamar,4,0.6028258
song,256,squabble up,Kendrick Lamar,3,0.49683398
song,257,heart pt. 6,Kendrick Lamar,3,0.47181135
song,258,Worldwide Steppers,Kendrick Lamar,3,0.5162076
song,259,HUMBLE.,Kendrick Lamar,3,0.6518853
song,260,Rich - Interlude,Kendrick Lamar,4,0.64807427
song,261,N95,Kendrick Lamar,3,0.6374584
song,262,Rich Spirit,Kendrick Lamar,3,0.45491874
song,263,Die Hard,Kendrick Lamar,3,0.46677333
song,264,We Cry Together,Kendrick Lamar,3,0.6395324
song,265,Savior - Interlude,Kendrick Lamar,0,0.5618726
song,266,Crown,Kendrick Lamar,0,0.49684215
song,267,Purple Hearts,Kendrick Lamar,3,0.4900424
song,268,Auntie Diaries,Kendrick Lamar,3,0.49627322
song,269,Count Me Out,Kendrick Lamar,3,0.5386931
song,270,Silent Hill,Kendrick Lamar,3,0.48600608
song,271,Savior,Kendrick Lamar,3,0.48946136
song,272,Mirror,Kendrick Lamar,3,0.45989835
song,273,Mr. Morale,Kendrick Lamar,3,0.44394517
song,274,The Heart Part 5,Kendrick Lamar,3,0.44828302
song,275,Don't Start Now,Dua Lipa,2,0.6071975
song,276,Training Season,Dua Lipa,2,0.61565787
song,277,Break My Heart,Dua Lipa,2,0.71100485
song,278,Cold Heart - PNAU Remix,Dua Lipa,2,0.4216373
song,279,Houdini,Dua Lipa,2,0.6672257
song,280,Houdini (Live from the Royal Albert Hall),Dua Lipa,2,0.66069746
song,281,Training Season (Live from the Royal Albert Hall),Dua Lipa,2,0.6140054
song,282,These Walls (Live from the Royal Albert Hall),Dua Lipa,2,0.52765614
song,283,Levitating,Dua Lipa,0,0.2041083
song,284,New Rules,Dua Lipa,2,0.5576569
song,285,Illusion (Live from the Royal Albert Hall),Dua Lipa,2,0.56523204
song,286,Falling Forever (Live from the Royal Albert Hall),Dua Lipa,0,0.3142901
song,287,Anything For Love (Live from the Royal Albert Hall),Dua Lipa,2,0.6060013
song,288,Maria (Live from the Royal Albert Hall),Dua Lipa,2,0.50243413
song,289,Love Again (Live from the Royal Albert Hall),Dua Lipa,2,0.75751925
song,290,End Of An Era (Live from the Royal Albert Hall),Dua Lipa,2,0.6454824
song,291,Whatcha Doing (Live from the Royal Albert Hall),Dua Lipa,3,0.6951564
song,292,French Exit (Live from the Royal Albert Hall),Dua Lipa,2,0.5295126
song,293,Happy For You (Live from the Royal Albert Hall),Dua Lipa,2,0.61690474
song,294,Pretty Please (Live from the Royal Albert Hall),Dua Lipa,2,0.62163186
song,295,Sunshine (Live from the Royal Albert Hall),Dua Lipa,1,0.36058623
song,296,Levitating (Live from the Royal Albert Hall),Dua Lipa,2,0.20606339
song,297,Cold Heart (Live from the Royal Albert Hall),Dua Lipa,2,0.42774838
song,298,End Of An Era - Extended,Dua Lipa,2,0.63040465
song,299,Dance The Night (Live from the Royal Albert Hall),Dua Lipa,2,0.4848429
song,300,Be The One (Live from the Royal Albert Hall),Dua Lipa,0,0.34148914
song,301,Don’t Start Now (Live from the Royal Albert Hall),Dua Lipa,2,0.5560186
song,302,Houdini - Extended,Dua Lipa,2,0.6294625
song,303,Training Season - Extended,Dua Lipa,2,0.60356665
song,304,These Walls - Extended,Dua Lipa,2,0.5086738
song,305,Whatcha Doing - Extended,Dua Lipa,3,0.68927944
song,306,Anything For Love - Extended,Dua Lipa,2,0.6572613
song,307,Falling Forever - Extended,Dua Lipa,0,0.2890216
song,308,French Exit - Extended,Dua Lipa,2,0.5199072
song,309,Maria - Extended,Dua Lipa,2,0.5362514
song,310,Illusion - Extended,Dua Lipa,2,0.6366205
song,311,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,4,0.51450515
song,312,What Don't Belong To Me,Post Malone,2,0.8273258
song,313,Wow.,Post Malone,3,0.6233534
song,314,Better Now,Post Malone,2,0.50964904
song,315,Yours,Post Malone,2,0.7142546
song,316,Right About You,Post Malone,3,0.7429476
song,317,Dead At The Honky Tonk,Post Malone,0,0.49890798
song,318,Killed A Man,Post Malone,0,0.5995474
song,319,Fallin’ In Love,Post Malone,2,0.76965535
song,320,Ain’t How It Ends,Post Malone,3,0.25030458
song,321,Hey Mercedes,Post Malone,3,0.25282055
song,322,Circles,Post Malone,0,0.32518667
song,323,Go To Hell,Post Malone,3,0.60771346
song,324,Back To Texas,Post Malone,0,0.40953726
song,325,Who Needs You,Post Malone,3,0.85488963
song,326,Two Hearts,Post Malone,3,0.66312647
song,327,Congratulations,Post Malone,3,0.5001435
song,328,traitor,Olivia Rodrigo,2,0.60500157
song,329,vampire,Olivia Rodrigo,2,0.51809466
song,330,drivers license,Olivia Rodrigo,2,0.60055184
song,331,lacy,Olivia Rodrigo,0,0.33705652
song,332,good 4 u,Olivia Rodrigo,2,0.61321366
song,333,favorite crime,Olivia Rodrigo,2,0.6132026
song,334,happier,Olivia Rodrigo,2,0.60821784
song,335,all-american bitch,Olivia Rodrigo,3,0.7893798
song,336,"jealousy, jealousy",Olivia Rodrigo,2,0.544075
song,337,making the bed,Olivia Rodrigo,3,0.511948
song,338,deja vu,Olivia Rodrigo,2,0.79154253
song,339,logical,Olivia Rodrigo,2,0.5508791
song,340,bad idea right?,Olivia Rodrigo,2,0.6005847
song,341,pretty isn’t pretty,Olivia Rodrigo,2,0.56732136
song,342,ballad of a homeschooled girl,Olivia Rodrigo,3,0.41984898
song,343,love is embarrassing,Olivia Rodrigo,0,0.24231094
song,344,the grudge,Olivia Rodrigo,2,0.4130727
song,345,teenage dream,Olivia Rodrigo,0,0.49028844
song,346,stranger,Olivia Rodrigo,2,0.60164344
song,347,obsessed,Olivia Rodrigo,2,0.6078919
song,348,girl i’ve always been,Olivia Rodrigo,2,0.63493615
song,349,scared of my guitar,Olivia Rodrigo,2,0.5148875
song,350,get him back!,Olivia Rodrigo,2,0.54669344
song,351,so american,Olivia Rodrigo,2,0.7178853
song,352,Saturn,SZA,0,0.7423711
song,353,Good Days,SZA,3,0.78621536
song,354,What Do I Do,SZA,2,0.698277
song,355,Diamond Boy (DTM),SZA,3,0.59573936
song,356,Nobody Gets Me,SZA,2,0.46286345
song,357,No More Hiding,SZA,2,0.50476956
song,358,BMF,SZA,3,0.6837485
song,359,Snooze,SZA,3,0.60174465
song,360,Kill Bill,SZA,2,0.4896927
song,361,Scorsese Baby Daddy,SZA,2,0.61724555
song,362,Chill Baby,SZA,3,0.4122367
song,363,My Turn,SZA,2,0.5504448
song,364,Love Me 4 Me,SZA,3,0.21986353
song,365,Kitchen,SZA,2,0.62918144
song,366,Get Behind Me (Interlude),SZA,3,0.64599276
song,367,Another Life,SZA,2,0.6583088
song,368,Drive,SZA,3,0.7143368
song,369,Crybaby,SZA,3,0.6185298
song,370,Take You Down,SZA,3,0.7243359
song,371,Open Arms (just SZA),SZA,3,0.7357136
song,372,PSA,SZA,3,0.3883946
song,373,Seek & Destroy,SZA,3,0.26539153
song,374,SOS,SZA,3,0.62628627
song,375,Gone Girl,SZA,2,0.74498236
song,376,Love Language,SZA,2,0.4668101
song,377,Notice Me,SZA,3,0.48170298
song,378,Blind,SZA,3,0.7033895
song,379,Low,SZA,3,0.67350566
song,380,Smoking on my Ex Pack,SZA,3,0.5773791
song,381,Sparks,Coldplay,2,0.7247685
song,382,Something Just Like This,Coldplay,0,0.48125446
song,383,A Sky Full of Stars,Coldplay,0,0.43914437
song,384,Fix You,Coldplay,0,0.4308585
song,385,The Scientist,Coldplay,2,0.35083675
song,386,Clocks,Coldplay,0,0.74011266
song,387,Yellow,Coldplay,0,0.4780951
song,388,MOON MUSiC,Coldplay,0,0.32020766
song,389,Paradise,Coldplay,0,0.5698129
song,390,Adventure of a Lifetime,Coldplay,0,0.35105264
song,391,GOOD FEELiNGS,Coldplay,2,0.35879815
song,392,feelslikeimfallinginlove,Coldplay,2,0.80478185
song,393,AETERNA,Coldplay,0,0.3278432
song,394,JUPiTER,Coldplay,1,0.6215446
song,395,iAAM,Coldplay,0,0.63345057
song,396,WE PRAY,Coldplay,0,0.74662113
song,397,Viva La Vida,Coldplay,0,0.6333277
song,398,ALL MY LOVE,Coldplay,2,0.32077837
song,399,ONE WORLD,Coldplay,4,0.27003872
song,400,Moon Music - Elodie,Coldplay,4,0.30813152
song,401,feelslikeimfallinginlive,Coldplay,2,0.747739
song,402,Angelsong,Coldplay,0,0.6158377
song,403,The Karate Kid,Coldplay,0,0.7378885
song,404,i Am A Mountain,Coldplay,0,0.6416611
song,405,We Pray - Be Our Guest,Coldplay,0,0.74890244
song,406,Man in The Moon,Coldplay,0,0.6130526
song,407,All My Love - Live in Dublin,Coldplay,2,0.2681784
song,408,Believer,Imagine Dragons,0,0.61641407
song,409,Radioactive,Imagine Dragons,0,0.65220755
song,410,Bones,Imagine Dragons,0,0.4906242
song,411,Natural,Imagine Dragons,0,0.66572475
song,412,Woke - Demo,Imagine Dragons,0,0.54590565
song,413,Bad Liar,Imagine Dragons,2,0.45648074
song,414,The Ghost Intervention - Demo,Imagine Dragons,2,0.69232225
song,415,Demons,Imagine Dragons,0,0.6418557
song,416,Whatever It Takes,Imagine Dragons,0,0.45265228
song,417,Monica - Demo,Imagine Dragons,2,0.6572517
song,418,Strange Ways - Demo,Imagine Dragons,2,0.6201535
song,419,I Get Carried Away - Demo,Imagine Dragons,0,0.3897676
song,420,A-OK - Demo,Imagine Dragons,2,0.4616949
song,421,Black - Demo,Imagine Dragons,0,0.58325243
song,422,Destroyed - Demo,Imagine Dragons,2,0.593817
song,423,Cowboy - Demo,Imagine Dragons,2,0.55815864
song,424,Playin' Me - Demo,Imagine Dragons,2,0.59701693
song,425,My Car - Demo,Imagine Dragons,0,0.40682554
song,426,Mayday - Demo,Imagine Dragons,2,0.20533264
song,427,The Journey - Demo,Imagine Dragons,0,0.5177506
song,428,Thunder,Imagine Dragons,0,0.54138696
song,429,I Bet My Life - Demo,Imagine Dragons,2,0.38458562
song,430,Nice to Meet You,Imagine Dragons,2,0.7056602
song,431,Wake Up,Imagine Dragons,3,0.71611834
song,432,In Your Corner,Imagine Dragons,3,0.62991935
song,433,Take Me to the Beach,Imagine Dragons,0,0.31878108
song,434,Eyes Closed,Imagine Dragons,0,0.58647376
song,435,Kid,Imagine Dragons,0,0.569749
song,436,Fire in These Hills,Imagine Dragons,2,0.3265372
song,437,Gods Don’t Pray,Imagine Dragons,0,0.46140778
song,438,Don’t Forget Me,Imagine Dragons,2,0.39134818
song,439,My Life - Live in Vegas,Imagine Dragons,0,0.560992
song,440,"Las Vegas, Our Home - Live in Vegas",Imagine Dragons,0,0.51982796
song,441,Believer - Live in Vegas,Imagine Dragons,0,0.60428697
song,442,It's Time - Live in Vegas,Imagine Dragons,0,0.5978583
song,443,I'm So Sorry - Live in Vegas,Imagine Dragons,3,0.40409243
song,444,Thunder - Live in Vegas,Imagine Dragons,0,0.54602194
song,445,Only Girl (In The World),Rihanna,2,0.6980785
song,446,Where Have You Been,Rihanna,2,0.2904182
song,447,Love On The Brain,Rihanna,2,0.7099769
song,448,S&M,Rihanna,2,0.32006633
song,449,Stay,Rihanna,2,0.2978261
song,450,Breakin' Dishes,Rihanna,3,0.9048932
song,451,Don't Stop The Music,Rihanna,2,0.3219726
song,452,We Found Love,Rihanna,0,0.37116587
song,453,James Joint,Rihanna,3,0.77506185
song,454,Consideration,Rihanna,3,0.297251
song,455,Diamonds,Rihanna,0,0.29578996
song,456,Desperado,Rihanna,4,0.7317549
song,457,Umbrella,Rihanna,3,0.29351223
song,458,Woo,Rihanna,2,0.26796204
song,459,Kiss It Better,Rihanna,2,0.60400474
song,460,Needed Me,Rihanna,3,0.6489463
song,461,"Yeah, I Said It",Rihanna,3,0.59421945
song,462,Never Ending,Rihanna,0,0.3632347
song,463,Same Ol’ Mistakes,Rihanna,2,0.4705875
song,464,Work,Rihanna,3,0.25658894
song,465,Goodnight Gotham,Rihanna,4,0.7976592
song,466,Close To You,Rihanna,2,0.64057016
song,467,Higher,Rihanna,2,0.6806146
song,468,Phresh Out The Runway,Rihanna,3,0.34961444
song,469,Pose,Rihanna,3,0.5908282
song,470,Sex With Me,Rihanna,3,0.54755867
song,471,All Falls Down,Kanye West,3,0.4083922
song,472,I Wonder,Kanye West,3,0.39115787
song,473,Heartless,Kanye West,3,0.70251095
song,474,Bound 2,Kanye West,3,0.40138537
song,475,Flashing Lights,Kanye West,3,0.37236226
song,476,TRUE LOVE,Kanye West,3,0.4683851
song,477,BROKEN ROAD,Kanye West,3,0.49373913
song,478,TOO EASY,Kanye West,3,0.37146342
song,479,SECURITY,Kanye West,3,0.81120664
song,480,Homecoming,Kanye West,3,0.35351312
song,481,Can't Tell Me Nothing,Kanye West,3,0.39278424
song,482,Runaway,Kanye West,3,0.4060412
song,483,SCIFI,Kanye West,3,0.36475313
song,484,Stronger,Kanye West,3,0.4226094
song,485,BURN EVERYTHING,Kanye West,3,0.19104123
song,486,CITY OF GOD,Kanye West,3,0.6010556
song,487,MAINTENANCE,Kanye West,3,0.3865865
song,488,530,Kanye West,3,0.4193431
song,489,LOUIE BAGS,Kanye West,3,0.37505633
song,490,FIRST TIME IN A LONG TIME,Kanye West,3,0.3701524
song,491,LORD LIFT ME UP,Kanye West,3,0.37703383
song,492,SLIDE,Kanye West,3,0.5078503
song,493,TIME MOVING SLOW,Kanye West,3,0.35957074
song,494,ISABELLA,Kanye West,4,0.7659488
song,495,FRIED,Kanye West,3,0.37272352
song,496,FIELD TRIP,Kanye West,3,0.4611603
song,497,PROMOTION,Kanye West,3,0.47824317
song,498,DEAD,Kanye West,3,0.4808452
song,499,FOREVER ROLLING,Kanye West,3,0.40651178
